Kurikulum Program Sistem Informasi Bisnis (8 Semester),,,,
,,,,
,,,,
Semester 1,,,,
No.,Kode,Mata Kuliah,Prasyarat,
1,DU4154,Etika Keluarga Kristen,,
2,DU4176,English for Occupational Purposes (EOP),,
3,DU4196,Friendship Counseling,,
4,DU4204,Innovation and Start-Up,,
5,DU4212,Indonesian Culture,,
6,DU4205,Kajian Gender,,
7,DU4166,Lingkungan Hidup,,
8,DU4202,Right and Wrong,,
9,DU4191,Servant Leader,,
10,DU4182,Peacebuilding (Studi Perdamaian),,
11,DU4208,Community Outreach Program (COP),,
12,DU4209,Disability Studies and Empowerment,,
,,,,
Keterangan:,,,,
Mata kuliah tercetak dengan bintang (*) adalah mata kuliah yang disertai responsi/studio,,,,
Mata kuliah tercetak dengan tilde (~) adalah mata kuliah yang disertai praktikum.,,,,
Mata kuliah tercetak dengan hash (#) adalah mata kuliah yang ditawarkan pada international track (dengan pengantar Bahasa Inggris) selain pada regular track (dengan pengantar Bahasa Indonesia).,,,,
"Mata kuliah COP, dapat digantikan dengan Mata Kuliah Pilihan.",,,,
Keterangan prasyarat kuliah:,,,,
"K = Kuliah, MK prasyarat pernah diambil pada semester sebelumnya.",,,,
"L = Lulus, MK prasyarat pernah diambil pada semester sebelumnya dan lulus.",,,,
Mata kuliah konsentrasi & pilihan minimum 60% harus dari program yang diikuti.,,,,
